address	original_name	display_name	name_source	class	bucket	route_source	path	src_chunk
8029848c	FUN_8029848c	FUN_8029848c	generated		game-unsorted	symbol-or-address	game/unsorted/8029848c_FUN_8029848c.c	chunk_0077.c
802984b4	FUN_802984b4	FUN_802984b4	generated		game-unsorted	symbol-or-address	game/unsorted/802984b4_FUN_802984b4.c	chunk_0077.c
802984dc	FUN_802984dc	FUN_802984dc	generated		game-unsorted	symbol-or-address	game/unsorted/802984dc_FUN_802984dc.c	chunk_0077.c
80298504	FUN_80298504	FUN_80298504	generated		game-unsorted	symbol-or-address	game/unsorted/80298504_FUN_80298504.c	chunk_0077.c
8029857c	FUN_8029857c	FUN_8029857c	generated		game-unsorted	symbol-or-address	game/unsorted/8029857c_FUN_8029857c.c	chunk_0077.c
802985e8	FUN_802985e8	FUN_802985e8	generated		game-unsorted	symbol-or-address	game/unsorted/802985e8_FUN_802985e8.c	chunk_0077.c
80298654	FUN_80298654	FUN_80298654	generated		game-unsorted	symbol-or-address	game/unsorted/80298654_FUN_80298654.c	chunk_0077.c
802986c8	FUN_802986c8	damage_candidate_802986c8	evidence-index		damage	evidence-topic	game/combat/damage/802986c8_damage_candidate_802986c8.c	chunk_0077.c
80298714	FUN_80298714	damage_candidate_80298714	evidence-index		damage	evidence-topic	game/combat/damage/80298714_damage_candidate_80298714.c	chunk_0077.c
802987d8	zz_02987d8_	damage_candidate_802987d8	evidence-index		damage	evidence-topic	game/combat/damage/802987d8_damage_candidate_802987d8.c	chunk_0077.c
80298854	zz_0298854_	damage_candidate_80298854	evidence-index		damage	evidence-topic	game/combat/damage/80298854_damage_candidate_80298854.c	chunk_0077.c
802988d4	zz_02988d4_	damage_candidate_802988d4	evidence-index		damage	evidence-topic	game/combat/damage/802988d4_damage_candidate_802988d4.c	chunk_0077.c
80298960	zz_0298960_	damage_candidate_80298960	evidence-index		damage	evidence-topic	game/combat/damage/80298960_damage_candidate_80298960.c	chunk_0077.c
802989f0	zz_02989f0_	zz_02989f0_	generated		game-unsorted	symbol-or-address	game/unsorted/802989f0_zz_02989f0.c	chunk_0077.c
80298b20	zz_0298b20_	zz_0298b20_	generated		game-unsorted	symbol-or-address	game/unsorted/80298b20_zz_0298b20.c	chunk_0077.c
